,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
314,2021-05-08,203,4,4253,7,591054,5174615,4864469,901200,10156967040,88970702240,83653890560,15473778720,17184.49928432935,17196.92130014602,17193.68537369447,17170.193874833556,-4273415.0
315,2021-05-05,354,5,3676,6,1433102,4284321,4734306,983117,24619896760,73712057540,81433930580,16898023720,17179.44484063242,17200.816884248714,17205.07346204918,17188.212308402763,-3301204.0
316,2021-05-03,364,5,3522,12,1635733,3539642,3704060,1471315,27968573280,60621593360,63441455810,25148710830,17098.495463501684,17127.545398832634,17126.47588654446,17092.67616383983,-2068327.0
317,2021-05-02,183,3,3399,12,650443,4915292,4559714,1006021,11065698400,83586051620,77584392110,17067357910,17012.55667291369,17015.188257421407,17005.30744053456,16965.210378312182,-3909271.0
318,2021-05-01,203,2,3517,2,579026,5256723,5745349,90400,9873606060,89338667110,97677012570,1535260600,17052.09448280388,17001.058172445224,16995.12550119152,16982.971238938055,-5166323.0
319,2021-04-28,373,4,3230,2,1836373,2506815,4342415,773,31410409420,42758400000,74155529550,13279870,17104.59118054992,17077.025007973672,17056.86299148521,17179.650711513583,-2506042.0
320,2021-04-27,571,8,3915,1,3240760,3215672,6455657,775,55286396860,55021157060,110294293670,13260250,17059.701076290745,17084.90610173372,17110.31381931988,17110.0,-3214897.0
321,2021-04-26,356,5,3753,2,2589394,1736275,4225269,100400,43567957570,29282362750,71168404050,1681916270,16825.54202643553,16843.520270543722,16865.048883385407,16752.15408366534,-1635875.0
322,2021-04-25,243,7,3592,4,610823,6840052,6550075,900800,10198599860,114687572270,109912943560,14973228570,16696.48958863697,16780.409928130593,16767.061459474284,16622.145392984014,-5939252.0
323,2021-04-24,305,6,4410,8,2890538,6116057,8903879,102716,48209838990,103183918010,149658123280,1735633720,16678.500331080235,16808.1937411773,16870.986979029138,16897.40371509794,-6013341.0
324,2021-04-21,310,7,3563,2,2024528,4856707,6880457,778,34235075870,82191250890,116413262120,13064640,16910.151832921056,16919.408423016088,16923.24673693513,16792.596401028277,-4855929.0
325,2021-04-20,646,7,4156,5,3777694,2284257,6033908,28043,63996352380,38729990580,102251349450,474993510,16940.586606538276,16946.123383054564,16955.180866251038,16938.041935598903,-2256214.0
326,2021-04-19,601,7,5651,4,4058461,4445456,8402822,101095,68080703040,74530036960,140952237050,1658502950,16775.00487007267,16774.392823030168,16765.442501286707,16405.390474306347,-4344361.0
327,2021-04-18,309,6,4975,5,1755134,10204431,11231191,728374,29200260760,169719512720,186811264670,12108508810,16637.05492572077,16633.25507241396,16631.94280210234,16624.02668134777,-9476057.0
328,2021-04-17,419,7,5744,6,2408183,17080782,18048621,1440344,40832979160,289440171250,305873683050,24399467360,16955.92866488967,16947.20516597916,16945.37002170041,16940.02777114356,-15640438.0
329,2021-04-14,531,5,5142,3,3191147,4760910,7950857,1200,55193299860,82188274890,137360522750,21052000,17295.755996198233,17276.19082446081,17263.143997681116,17543.333333333332,-4759710.0
330,2021-04-13,1074,8,6329,3,8755066,3072955,10942717,885304,152885102540,53797850830,191287135560,15395817810,17462.472874561998,17480.771508575064,17506.878828359022,17390.430643033353,-2187651.0
331,2021-04-12,745,7,6625,5,5306193,4436144,9728398,13939,90474614800,75476663770,165714404810,236873760,17050.758387416365,17034.089765858676,17014.024740856024,16993.5978190688,-4422205.0
332,2021-04-11,851,10,9078,10,9026658,26804488,33521809,2309337,153737298460,456455430420,570882638830,39310090050,17031.474822686316,17030.185895695544,17029.06731216056,17022.24060412144,-24495151.0
333,2021-04-10,579,6,7100,6,8419250,21200000,28254801,1364449,146203516020,368003963330,490579073310,23628406040,17365.38480505983,17362.680179909956,17358.677515566036,17317.17787912923,-19835551.0
334,2021-04-07,563,5,6837,3,8113801,5302135,13388721,27215,143190835580,93656940200,236367691180,480084600,17647.812114199005,17654.23980229329,17664.005197906128,17640.440933308837,-5274920.0
335,2021-04-06,1046,5,6931,6,5699832,5479562,11176994,2400,102391051340,97916192280,200264147620,43096000,17963.87180183556,17917.53199652787,17869.34654266162,17956.666666666668,-5477162.0
336,2021-04-05,1509,5,10007,8,12916856,5459004,18025222,350638,231307341050,97872486480,322963668310,6216159220,17907.402625685383,17917.319870457075,17928.634322304948,17728.13904938997,-5108366.0
337,2021-04-04,664,4,11024,8,6790779,12462626,18967680,285725,120329676120,221093365080,336362125400,5060915800,17719.568862423588,17733.43526461855,17740.51191779325,17712.54107970951,-12176901.0
338,2021-04-03,1633,5,10276,6,12847346,17622192,29566930,902608,230895861790,317080288310,531745923950,16230226150,17972.261491984413,17984.482120734214,17993.237635249916,17981.47828293124,-16719584.0
339,2021-03-31,2993,4,10622,8,18107205,7711644,25230872,587977,329437406490,140539343550,459214160440,10762589600,18193.7193780045,18200.48710325985,18224.303864390007,18304.439799515967,-7123667.0
340,2021-03-30,2822,2,12255,7,22609820,1600000,23366052,843768,409291615210,29049975590,423039139780,15302451020,18102.382735023984,18104.861693366085,18156.23474375,18135.85134776384,-756232.0
341,2021-03-28,1957,11,15501,7,17138332,17662768,34714100,87000,298842096290,306136646250,603430688540,1548054000,17437.05841910403,17382.87003090963,17332.314292414416,17793.724137931036,-17575768.0
342,2021-03-27,2237,9,15432,10,21664839,19481710,40887249,259300,382025542210,342574859110,720025804900,4574596420,17633.435550109556,17610.033017873127,17584.43479088848,17642.099575780947,-19222410.0
343,2021-03-17,3417,11,22399,18,25528118,22466806,46735738,1259186,456801251890,402343643480,836685673480,22459221890,17894.04341871187,17902.48125492316,17908.359714326994,17836.302095163064,-21207620.0
344,2021-03-16,5895,13,19177,12,33845370,11497834,44729204,614000,611894063810,207819859480,808693021130,11020902160,18079.106944613104,18079.754362049458,18074.69645848079,17949.352052117265,-10883834.0
345,2021-03-15,7929,22,28183,20,48655403,14534503,61072978,2116928,871649702180,260798874670,1094477609500,37970967350,17914.756603290287,17920.816134101075,17943.432580391636,17936.825130566558,-12417575.0
346,2021-03-14,11242,18,38378,48,126280805,23054146,124158188,25176763,2250705670900,411100545560,2212203401650,449602814810,17823.022833121788,17817.6199031674,17831.957234937265,17857.848318705626,2122617.0
347,2021-03-13,1789,5,29265,14,45168991,9108600,42859224,11418367,761193768410,153739931650,720870013340,194063686720,16852.13133076185,16819.483557145133,16878.546829370047,16995.74787883416,2309767.0
348,2021-03-10,4861,13,46331,15,39941879,24914321,62700246,2155954,643286274040,396966470650,1005523009240,34729735450,16105.558630328833,16036.986668919928,15933.264673357946,16108.75531203356,-22758367.0
349,2021-03-09,4721,12,109485,38,34887399,73427617,106971445,1343571,558527399290,1174694119490,1711834294670,21387224110,16009.430777284371,16002.721985011982,15997.987780129104,15918.194207823777,-72084046.0
350,2021-03-08,7536,10,138258,47,88045484,23238338,108988344,2295478,1409025686150,371729204460,1743833826650,36921063960,16003.383957205573,16000.186466270192,15996.376524861631,16084.259557268682,-20942860.0
351,2021-03-07,13260,37,282580,56,168332975,151635320,315490548,4477747,2625800349980,2364563621890,4920527175860,69836796010,15598.847165743966,15596.432942453794,15593.752312390016,15596.414002398975,-147157573.0
352,2021-03-06,2582,5,45314,14,5583865,61000000,63395285,3188580,88615937550,968070000000,1006083172950,50602764600,15870.0,15870.0,15870.0,15870.0,-57811420.0
353,2021-03-03,45996,40,536073,152,371944945,124311191,445956261,50299875,6032526703800,2001293803740,7203106931130,830713576410,16218.869983029343,16152.047994522944,16099.063870605181,16515.22148732974,-74011316.0
354,2021-03-02,1390,5,68895,24,42463945,909997,29432662,13941280,664560739250,14241453050,460621160300,218181032000,15650.0,15650.0,15650.0,15650.0,13031283.0
355,2021-03-01,11957,10,208139,81,122577447,33815772,145381224,11011995,1810312954820,499453950210,2147119750880,162647154150,14768.727846159172,14768.89306476055,14769.852074055858,14769.9989102792,-22803777.0
356,2021-02-28,32473,34,388441,374,300085412,16087286,185678823,130493875,4182394884300,224209104120,2587603120610,1819000867810,13937.348225044674,13935.908677157007,13937.037242950737,13939.358209801036,114406589.0
357,2021-02-27,1522,9,31838,20,10893007,80000,10965618,7389,143351972120,1052800000,144307532880,97239240,13160.0,13160.0,13160.0,13160.0,-72611.0
358,2021-02-24,2752985,1535,0,2,1014549773,480840379,0,1495390152,12645360378170,5928026392500,0,18573386770670,12464.011835297113,,12328.470426773372,12420.428706066536,1014549773.0
